Team,Latitude,Longitude
ATL,33.755,-84.39
BOS,42.3601,-71.0589
BKN,40.6782,-73.9442
CHA,35.2271,-80.8431
CHI,41.8369,-87.6847
CLE,41.4965,-81.6891
DAL,32.7767,-96.797
DEN,39.7392,-104.9903
DET,42.3314,-83.0458
GSW,37.7749,-122.4194
HOU,29.7604,-95.3698
IND,39.7684,-86.1581
LAC,34.0522,-118.2437
LAL,34.0522,-118.2437
MEM,35.1495,-90.049
MIA,25.7617,-80.1918
MIL,43.0389,-87.9065
MIN,44.9778,-93.265
NOP,29.9511,-90.0715
NYK,40.7128,-74.006
OKC,35.4676,-97.5164
ORL,28.5383,-81.3792
PHI,39.9526,-75.1652
PHX,33.4484,-112.074
POR,45.5235,-122.6762
SAC,38.5816,-121.4944
SAS,29.4241,-98.4936
TOR,43.6532,-79.3832
UTA,40.7608,-111.891
WAS,38.9072,-77.0369
