TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,Division
Atlanta Hawks,ATL,1610612737,Southeast
Boston Celtics,BOS,1610612738,Atlantic
Brooklyn Nets,BKN,1610612751,Atlantic
Charlotte Hornets,CHA,1610612766,Southeast
Chicago Bulls,CHI,1610612741,Central
Cleveland Cavaliers,CLE,1610612739,Central
Dallas Mavericks,DAL,1610612742,Southwest
Denver Nuggets,DEN,1610612743,Northwest
Detroit Pistons,DET,1610612765,Central
Golden State Warriors,GSW,1610612744,Pacific
Houston Rockets,HOU,1610612745,Southwest
Indiana Pacers,IND,1610612754,Central
LA Clippers,LAC,1610612746,Pacific
Los Angeles Lakers,LAL,1610612747,Pacific
Memphis Grizzlies,MEM,1610612763,Southwest
Miami Heat,MIA,1610612748,Southeast
Milwaukee Bucks,MIL,1610612749,Central
Minnesota Timberwolves,MIN,1610612750,Northwest
New Orleans Pelicans,NOP,1610612740,Southwest
New York Knicks,NYK,1610612752,Atlantic
Oklahoma City Thunder,OKC,1610612760,Northwest
Orlando Magic,ORL,1610612753,Southeast
Philadelphia 76ers,PHI,1610612755,Atlantic
Phoenix Suns,PHX,1610612756,Pacific
Portland Trail Blazers,POR,1610612757,Northwest
Sacramento Kings,SAC,1610612758,Pacific
San Antonio Spurs,SAS,1610612759,Southwest
Toronto Raptors,TOR,1610612761,Atlantic
Utah Jazz,UTA,1610612762,Northwest
Washington Wizards,WAS,1610612764,Southeast
